鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
信義區,建物,臺北市信義區虎林街55巷1~30號,0.0,住,,,1051221,土地0建物1車位0,一層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640506.0,108.54,0,0,0,無,無,無,19000,175.0,,0.0,0,朋友關係,RPTOMLQLJHMFFDA28CC,121.577271,25.047547899999998
信義區,建物,臺北市信義區仁愛路四段511~540號,0.0,商,,,1060123,土地0建物1車位0,七層,12.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,690828.0,177.3,0,0,1,有,有,無,85000,479.0,,0.0,0,,RPUOMLQLJHMFFDA38CC,121.56121850000001,25.0374718
松山區,建物,臺北市松山區敦化北路155巷61~90號,0.0,住,,,1060113,土地0建物1車位0,三層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,730210.0,169.55,3,2,2,有,有,有,60000,354.0,,0.0,0,,RPQPMLQLJHMFFDA08CC,121.5512325,25.0542613
中山區,建物,臺北市中山區松江路170巷1~30號,0.0,住,,,1051229,土地0建物1車位1,七層,10.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,970624.0,186.67,3,2,2,有,有,有,56000,300.0,坡道平面,0.0,0,,RPUOMLQLJHMFFCA28CC,121.53298590000001,25.0456563
中山區,建物,臺北市中山區錦西街31~60號,0.0,商,,,1060103,土地0建物1車位0,六層,7.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,660608.0,48.96,1,1,1,有,有,有,24000,490.0,,0.0,0,,RPXOMLQLJHMFFCA58CC,121.5207306,25.060451899999997
中山區,建物,臺北市中山區明水路475巷1~30號,0.0,住,,,1060103,土地0建物1車位1,八層,9.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,870122.0,148.51,1,2,2,有,有,有,55000,370.0,坡道平面,0.0,0,,RPPPMLQLJHMFFCA87CC,121.551313,25.078218
中山區,建物,臺北市中山區中山北路二段128巷1~30號,0.0,住,,,1060123,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030701.0,169.42,3,2,2,有,無,有,60000,354.0,,0.0,0,,RPQPMLQLJHMFFCA97CC,121.522842,25.0524875
中山區,建物,臺北市中山區朱崙街31~60號,0.0,住,,,1060124,土地0建物1車位0,六層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030821.0,167.01,3,2,2,有,有,有,82000,491.0,,0.0,0,,RPRPMLQLJHMFFCA08CC,121.54093329999999,25.0500866
中山區,建物,臺北市中山區復興北路391~420號,0.0,商,,,1060104,土地0建物1車位0,四層,18.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,751125.0,79.13,2,1,1,有,有,有,40000,505.0,,0.0,0,,RPTPMLQLJHMFFCA28CC,121.5444188,25.0617911
中山區,建物,臺北市中山區長安東路一段65巷1~30號,0.0,商,,,1060123,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030703.0,97.44,2,1,2,有,有,有,58000,595.0,,0.0,0,,RPTPMLMJKHMFFCA77CC,121.522081,25.049818
中山區,建物,臺北市中山區中山北路二段151~180號,0.0,商,,,1060125,土地0建物1車位0,四層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,951129.0,62.47,2,1,1,有,有,有,27000,432.0,,0.0,0,,RPUPMLMJKHMFFCA87CC,121.52295690000001,25.0620063
中山區,建物,臺北市中山區新生北路三段56巷1~30號,0.0,商,,,1060119,土地0建物1車位0,二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,981021.0,78.0,2,1,1,有,有,有,40000,513.0,,0.0,0,,RPPQMLMJKHMFFCA47CC,121.5273555,25.065468600000003
內湖區,建物,臺北市內湖區康寧路三段56巷151~180號,0.0,住,,,1060119,土地0建物1車位2,八層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010801.0,209.49,4,2,2,有,有,有,56000,267.0,坡道平面,72.74,0,,RPQQMLMJKHMFFCA57CC,121.611623,25.0705729
內湖區,建物,臺北市內湖區民權東路六段180巷121~150號,0.0,住,,,1060119,土地0建物1車位1,六層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000221.0,176.65,2,2,2,有,有,有,48000,272.0,坡道平面,39.58,0,,RPVQMLMJKHMFFCA08CC,121.5926773,25.0690935
松山區,建物,臺北市松山區南京東路三段256巷28弄1~30號,0.0,住,,,1060124,土地0建物1車位0,一層,4.0,店面(店鋪),住家用,加強磚造,,93.7,4,0,2,有,無,有,46000,491.0,,0.0,0,,RPWOMLMJKHMFFDA08CC,121.5447709,25.0498171
松山區,建物,臺北市松山區民生東路五段69巷3弄1~30號,0.0,住,,,1060124,土地0建物1車位0,四層,7.0,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,680719.0,147.77,2,2,2,有,有,有,50000,338.0,,0.0,0,,RPXOMLMJKHMFFDA18CC,121.55719040000001,25.058762899999998
北投區,建物,臺北市士林區行義路151~180號,0.0,住,,,1060101,土地0建物1車位0,全,2.0,透天厝,住家用,見其他登記事項,580301.0,332.5,6,3,4,有,無,有,50000,150.0,,0.0,0,,RPTNMLMJKHMFFEA77CC,121.5281094,25.1303683
大同區,建物,臺北市大同區寧夏路1~30號,0.0,商,,,1060123,土地0建物1車位0,二層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001130.0,62.02,1,1,1,有,有,有,30000,484.0,,0.0,0,,RPTNMLMJKHMFFBA47CC,121.5149537,25.0543191
萬華區,建物,臺北市萬華區寶興街121~150號,0.0,住,,,1060124,土地0建物1車位0,四層,5.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680521.0,79.35,2,1,1,有,無,無,13000,164.0,,0.0,0,,RPUNMLMJKHMFFBA57CC,121.49484809999998,25.0252155
大同區,建物,臺北市大同區市民大道一段181~210號,0.0,其他,,,1060125,土地0建物1車位0,六層,18.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,980724.0,47.21,1,1,1,有,有,有,25000,530.0,,0.0,0,,RPOOMLMJKHMFFBA07CC,121.5164017,25.0488651
